normalized_url,normalized_path,route_family,last_crawled,gsc_submitted,gsc_indexed,indexed_not_submitted,variant_count,clicks,impressions,ctr,position,source_file_exists,current_http_status,current_canonical,target_pillar_id,target_topic,search_intent,migration_action,target_url,redirect_required,evidence_status,publication_status,notes,numeric_class,proposed_base_path,base_family_indexed_count,mapping_notes
https://www.mcpserver.in/glossary/mcp-config-map-46,/glossary/mcp-config-map-46,/glossary,2026-08-03,True,True,False,1,0.0,0.0,0.0,0.0,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-config-map,1,Legacy generated numeric suffix; requires semantic successor decision.
https://www.mcpserver.in/glossary/mcp-container-registry-1,/glossary/mcp-container-registry-1,/glossary,2026-08-03,True,True,False,1,0.0,0.0,0.0,0.0,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-container-registry,2,Legacy generated numeric suffix; requires semantic successor decision.
https://www.mcpserver.in/glossary/mcp-container-registry-127,/glossary/mcp-container-registry-127,/glossary,2026-07-21,False,True,True,1,0.0,0.0,0.0,0.0,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-container-registry,2,Legacy generated numeric suffix; requires semantic successor decision.
https://www.mcpserver.in/glossary/mcp-data-migrator-60,/glossary/mcp-data-migrator-60,/glossary,2026-08-03,True,True,False,1,0.0,0.0,0.0,0.0,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-data-migrator,1,Legacy generated numeric suffix; requires semantic successor decision.
https://www.mcpserver.in/glossary/mcp-data-pipeline-31,/glossary/mcp-data-pipeline-31,/glossary,2026-08-03,True,True,False,1,0.0,0.0,0.0,0.0,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-data-pipeline,1,Legacy generated numeric suffix; requires semantic successor decision.
https://www.mcpserver.in/glossary/mcp-data-validator-117,/glossary/mcp-data-validator-117,/glossary,2026-08-03,True,True,False,1,0.0,0.0,0.0,0.0,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-data-validator,1,Legacy generated numeric suffix; requires semantic successor decision.
https://www.mcpserver.in/glossary/mcp-database-service-23,/glossary/mcp-database-service-23,/glossary,2026-08-03,True,True,False,1,0.0,0.0,0.0,0.0,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-database-service,1,Legacy generated numeric suffix; requires semantic successor decision.
https://www.mcpserver.in/glossary/mcp-decision-engine-111,/glossary/mcp-decision-engine-111,/glossary,2026-07-21,False,True,True,1,0.0,0.0,0.0,0.0,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-decision-engine,1,Legacy generated numeric suffix; requires semantic successor decision.
https://www.mcpserver.in/glossary/mcp-dependency-check-107,/glossary/mcp-dependency-check-107,/glossary,2026-08-03,True,True,False,1,0.0,0.0,0.0,0.0,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-dependency-check,1,Legacy generated numeric suffix; requires semantic successor decision.
https://www.mcpserver.in/glossary/mcp-disaster-recovery-57,/glossary/mcp-disaster-recovery-57,/glossary,2026-08-03,True,True,False,1,0.0,6.0,0.0,7.330000000000001,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-disaster-recovery,1,Legacy generated numeric suffix; requires semantic successor decision.
https://www.mcpserver.in/glossary/mcp-dns-provider-3,/glossary/mcp-dns-provider-3,/glossary,2026-08-03,True,True,False,1,0.0,0.0,0.0,0.0,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-dns-provider,1,Legacy generated numeric suffix; requires semantic successor decision.
https://www.mcpserver.in/glossary/mcp-email-service-70,/glossary/mcp-email-service-70,/glossary,2026-08-03,True,True,False,1,0.0,0.0,0.0,0.0,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-email-service,1,Legacy generated numeric suffix; requires semantic successor decision.
https://www.mcpserver.in/glossary/mcp-event-bus-6,/glossary/mcp-event-bus-6,/glossary,2026-08-03,True,True,False,1,0.0,0.0,0.0,0.0,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-event-bus,1,Legacy generated numeric suffix; requires semantic successor decision.
https://www.mcpserver.in/glossary/mcp-event-processor-63,/glossary/mcp-event-processor-63,/glossary,2026-08-03,True,True,False,1,0.0,0.0,0.0,0.0,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-event-processor,1,Legacy generated numeric suffix; requires semantic successor decision.
https://www.mcpserver.in/glossary/mcp-experiment-tracker-37,/glossary/mcp-experiment-tracker-37,/glossary,2026-08-03,True,True,False,1,0.0,0.0,0.0,0.0,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-experiment-tracker,1,Legacy generated numeric suffix; requires semantic successor decision.
https://www.mcpserver.in/glossary/mcp-file-storage-20,/glossary/mcp-file-storage-20,/glossary,2026-08-03,True,True,False,1,0.0,0.0,0.0,0.0,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-file-storage,1,Legacy generated numeric suffix; requires semantic successor decision.
https://www.mcpserver.in/glossary/mcp-file-watcher-75,/glossary/mcp-file-watcher-75,/glossary,2026-07-21,True,True,False,1,0.0,0.0,0.0,0.0,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-file-watcher,1,Legacy generated numeric suffix; requires semantic successor decision.
https://www.mcpserver.in/glossary/mcp-function-orchestrator-53,/glossary/mcp-function-orchestrator-53,/glossary,2026-08-03,True,True,False,1,0.0,0.0,0.0,0.0,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-function-orchestrator,1,Legacy generated numeric suffix; requires semantic successor decision.
https://www.mcpserver.in/glossary/mcp-graph-database-27,/glossary/mcp-graph-database-27,/glossary,2026-08-03,True,True,False,1,0.0,0.0,0.0,0.0,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-graph-database,1,Legacy generated numeric suffix; requires semantic successor decision.
https://www.mcpserver.in/glossary/mcp-graphql-gateway-79,/glossary/mcp-graphql-gateway-79,/glossary,2026-08-03,True,True,False,1,0.0,0.0,0.0,0.0,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-graphql-gateway,1,Legacy generated numeric suffix; requires semantic successor decision.
https://www.mcpserver.in/glossary/mcp-health-check-43,/glossary/mcp-health-check-43,/glossary,2026-08-03,True,True,False,1,0.0,0.0,0.0,0.0,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-health-check,1,Legacy generated numeric suffix; requires semantic successor decision.
